,open,high,low,close,volume,MA20,MA50,RSI,MA_short,MA_long,cross_up,cross_down,position,returns,strategy_returns,cumulative_returns,cumulative_strategy
2025-03-11 17:50:31.734158,30101.809578840584,30558.16319107484,30104.761592382427,30298.02849180674,2802.658806580329,,,,,,False,False,0,,,,
2025-03-11 18:50:31.734158,30037.362062677603,30729.11256281645,30162.339951554197,30216.782239871154,4910.530438257616,,,,,,False,False,0,-0.0026815689330267345,-0.0,0.9973184310669733,1.0
2025-03-11 19:50:31.734158,30695.701467225223,31233.686264665364,30514.63962270189,30607.107691498684,4854.635387221957,,,,,,False,False,0,0.012917505528186046,0.0,1.0102012974136427,1.0
2025-03-11 20:50:31.734158,31512.4974722913,31981.42139563443,31452.96495075185,31522.63793411063,4678.764631400647,,,,,,False,False,0,0.0299123410104587,0.0,1.0404187831110874,1.0
2025-03-11 21:50:31.734158,31312.433004335944,31398.039200228817,31383.839016802824,31383.858238043755,9246.679724409214,,,,,,False,False,0,-0.00440254068701218,-0.0,1.035838297086909,1.0
2025-03-11 22:50:31.734158,31403.755307688563,31558.34534181731,31009.69605671121,31245.08839264137,4057.764658262302,,,,,,False,False,0,-0.0044216948837146886,-0.0,1.0312581361883242,1.0
2025-03-11 23:50:31.734158,32224.504055266123,32311.464395020048,32078.016062953626,32194.328410712922,1273.41017509741,,,,,,False,False,0,0.030380455518093763,0.0,1.062588228122466,1.0
2025-03-12 00:50:31.734158,32665.066950660188,32769.504309827746,32368.89085894972,32656.50157697179,2605.9330561669867,,,,,,False,False,0,0.01435573248687727,0.0,1.077842460469097,1.0
2025-03-12 01:50:31.734158,32502.769998259184,32555.977636862117,32205.298103925576,32376.529274177945,7493.473689161264,,,,,,False,False,0,-0.008573248488787044,-0.0,1.06860184922373,1.0
2025-03-12 02:50:31.734158,32642.440223310106,32968.36894469859,32622.918498313495,32703.77762909665,6317.7274568306,,,,,,False,False,0,0.010107579850435089,0.0,1.0794028277430814,1.0
2025-03-12 03:50:31.734158,32681.75461346861,32534.07075900624,32229.17361041395,32427.43934217629,9565.61323367067,,,,,,False,False,0,-0.008449735992410279,-0.0,1.0702821588191913,1.0
2025-03-12 04:50:31.734158,32023.036290988624,32482.398777864895,32116.21159429463,32149.713818801265,7249.915964717949,,,,,,False,False,0,-0.00856452217655701,-0.0,1.061115703534811,1.0
2025-03-12 05:50:31.734158,32402.6863984589,32646.850687993185,32034.438959835676,32296.60351050801,2748.175060588402,,,,,,False,False,0,0.004568926881733049,0.0,1.0659638635973203,1.0
2025-03-12 06:50:31.734158,31373.6696497662,31152.008184605544,31131.218715372732,31150.347692480453,2085.797967645728,,,57.70563263014213,,,False,False,0,-0.035491528316734966,-0.0,1.0281311769478398,1.0
2025-03-12 07:50:31.734158,29909.70852764602,30368.8792977297,29899.0976851684,30117.109321739754,5686.8379778302915,,,48.62182717134363,,,False,False,0,-0.03316940089853693,-0.0,0.9940286817633723,1.0
2025-03-12 08:50:31.734158,29730.32403758626,30077.779787299627,29645.505300633027,29781.44913296229,6987.364625281081,,,46.80754089318365,,,False,False,0,-0.011145166197446765,-0.0,0.9829500669000907,1.0
2025-03-12 09:50:31.734158,29342.08493597405,29309.900068491566,29062.479627074183,29175.462789528763,2490.7306417168274,,,39.823116207588924,,,False,False,0,-0.02034777893876283,-0.0,0.9629492162309655,1.0
2025-03-12 10:50:31.734158,29535.640135009115,29481.246053523275,29188.92643845491,29365.723517853054,6415.237093444464,,,32.9048005910244,,,False,False,0,0.006521258281207976,0.0,0.9692288567816945,1.0
2025-03-12 11:50:31.734158,28797.90663749754,29081.07608934273,28726.995612118128,28822.621401307442,8785.258155366917,,,30.922911035243615,,,False,False,0,-0.018494423139802096,-0.0,0.9513035281850671,1.0
2025-03-12 12:50:31.734158,27874.182221458082,28164.219777411097,27359.84075436376,27976.951509273396,7548.1203528374,30923.403095778118,,27.976804302649285,30923.403095778118,,False,False,0,-0.029340491978834593,-0.0,0.9233918146469161,1.0
2025-03-12 13:50:31.734158,28995.98533299562,29363.47565988351,28694.58810432991,28858.05309939345,6977.719727936268,30851.40432615746,,27.309258136481645,30851.40432615746,,False,False,0,0.03149383841295217,0.0,0.9524729672492488,1.0
2025-03-12 14:50:31.734158,28894.282743221254,28748.620770180998,28717.140551023025,28724.299647868655,8103.97949058932,30776.780196557327,,22.0056353213142,30776.780196557327,,False,False,0,-0.004634874399326971,-0.0,0.9480583746772943,1.0
2025-03-12 15:50:31.734158,28599.012290082974,29209.42576971562,28530.671905555388,28766.528899448527,1936.7443814835788,30684.751256954816,,23.398998864734523,30684.751256954816,,False,False,0,0.0014701577444031777,0.0,0.9494521700389724,1.0
2025-03-12 16:50:31.734158,27745.36574649372,28246.868999855258,27779.218107862336,27913.39231648758,2834.48310230075,30504.288976073665,,17.24006694787927,30504.288976073665,,False,False,0,-0.0296572654261843,-0.0,0.92129401502266,1.0
2025-03-12 17:50:31.734158,27619.547452248902,27600.51562439381,27333.829297791915,27588.475010539594,1342.8954732321017,30314.519814698462,,17.126274303361555,30314.519814698462,,False,False,0,-0.011640194149962535,-0.0,0.9105699738185977,1.0
2025-03-12 18:50:31.734158,27743.77121296804,27695.412006126408,27409.14800887593,27656.74089313264,2304.801508840811,30135.102439723025,,18.58266186667626,30135.102439723025,,False,False,0,0.002474434798116487,0.0,0.9128231198479345,1.0
2025-03-12 19:50:31.734158,26927.530813715533,27499.031275120964,26629.805802352344,26967.857075446376,9218.641084025738,29873.7788729597,,15.36384000301993,29873.7788729597,,False,False,0,-0.02490835128940727,-0.0,0.8900862009136694,1.0
2025-03-12 20:50:31.734158,27287.355152366366,27477.407987700237,27075.11011511909,27194.988215220903,2999.304351255818,29600.703204872152,,20.801986711919596,29600.703204872152,,False,False,0,0.008422290994019033,0.0,0.8975827659075252,1.0
2025-03-12 21:50:31.734158,26741.03007339293,26846.907531067358,26508.180753856457,26836.317330036745,6958.874947112767,29323.692607665093,,23.102835205241988,29323.692607665093,,False,False,0,-0.013188859739362235,-0.0,0.885744672703502,1.0
